FIPS,County,# Chlamydia Cases,Chlamydia Rate,# Uninsured Adults,% Uninsured Adults,# Non-Hispanic Black,% Non-Hispanic Black,# Non-Hispanic White,% Non-Hispanic White,# Hispanic,% Hispanic,% Female,Income Ratio,% Unemployed,% Some College,# Uninsured,% Uninsured,% Rural
29029,Camden,117,267.3,3693,16,317,0.7,40887,92.8,1590,3.6,50.0,4.5,3.8,58,4257,14,56.3
29031,Cape Girardeau,580,699.6,5465,11,6728,8.1,69867,84.2,2537,3.1,51.2,4.4,2.7,70,6426,10,32.2
29033,Carroll,16,190.0,618,13,171,2.0,7806,93.0,226,2.7,50.1,3.9,2.8,49,761,12,100.0
29035,Carter,10,189.8,466,16,38,0.7,4932,93.0,126,2.4,51.0,4.5,4.4,49,551,13,100.0
29037,Cass,376,340.6,6680,10,5811,5.2,95009,85.0,6316,5.7,50.7,3.8,3.0,64,8072,9,29.7
29039,Cedar,34,232.9,1391,18,125,0.9,13701,93.4,348,2.4,50.1,4.1,3.5,61,1638,15,100.0
29041,Chariton,16,216.6,490,13,183,2.5,6937,93.8,120,1.6,49.8,3.7,2.7,59,591,11,100.0
29043,Christian,174,186.9,7095,13,961,1.0,86268,91.4,3703,3.9,50.8,3.7,2.5,73,8460,11,42.2
29045,Clark,10,148.7,555,15,43,0.6,6367,95.9,65,1.0,48.0,4.4,3.8,52,681,13,100.0
29047,Clay,1171,455.6,14209,9,20455,7.9,201450,77.5,21282,8.2,50.5,3.6,2.7,73,16820,8,8.1
29049,Clinton,42,196.9,1450,12,293,1.4,19968,92.7,613,2.8,49.4,3.8,3.0,55,1715,10,75.8
29051,Cole,485,630.1,4555,11,8810,11.4,62349,80.7,2895,3.7,49.3,4.3,2.5,66,5358,9,34.3
29053,Cooper,48,286.2,1133,12,923,5.4,15034,88.7,360,2.1,49.5,4.4,3.0,53,1360,10,53.0
29055,Crawford,64,282.4,2338,18,165,0.7,21420,94.3,575,2.5,50.2,4.1,3.4,50,2706,15,93.2
29057,Dade,15,195.8,693,16,50,0.6,7141,92.5,187,2.4,49.2,4.5,3.0,57,797,14,100.0
29059,Dallas,38,215.6,1767,18,99,0.6,16634,93.6,414,2.3,50.0,5.0,3.1,41,2072,15,100.0
29061,Daviess,9,106.7,811,18,42,0.5,8157,95.4,154,1.8,49.7,4.2,2.8,47,1025,16,100.0
29063,DeKalb,16,141.1,611,12,351,3.5,9044,91.4,243,2.5,47.8,4.2,2.9,38,748,10,69.9
29065,Dent,25,172.8,1339,17,98,0.7,13669,93.3,343,2.3,49.6,4.7,3.5,57,1560,14,67.5
29067,Douglas,18,150.3,943,15,98,0.8,11276,92.2,330,2.7,49.4,4.4,3.3,59,1095,12,100.0
29069,Dunklin,174,634.9,2447,16,2904,10.7,21113,78.1,2109,7.8,52.1,5.0,5.0,41,2913,13,62.7
29071,Franklin,225,212.5,7595,12,1046,1.0,100166,94.1,2558,2.4,49.8,3.9,2.8,64,8750,10,55.0
